Time (days),Qin(m^3/s),NO3in (Kg/day),NH4in (Kg/day),DONin (Kg/day),PONin (Kg/day),SS16in (Kg/day)
0,342.1,9906.2,3302.1,8812.3,4598.258181,850574.8
1,419.5,11927.3,3975.8,10491.4,5892.761229,1277224.9
2,248.5,6402,2134,5821.9,3575.229913,921809.2
3,151.5,3364.4,1121.5,3223.2,2003.590154,570638
4,94.7,1759.5,586.5,1834.4,1128.515797,331153.2
5,62.7,1741.4,580.5,1106.1,671.0495643,190379.3
