Hourly Time (days),SS16,PON,Don,NO3,NH4
0.0,1094432.0038476405,5916.564792703282,11338.759562952677,12746.277360339733,4248.802010011693
0.041666666666666664,1050835.909961051,5656.0574878801835,11402.571038079155,11364.658957378293,4192.968355443445
0.08333333333333333,1011945.8006355256,5422.8688261428315,11473.348478089643,10092.864202795903,4144.037067830568
0.125,977342.4490112934,5214.214201568002,11551.366363283618,8920.53200301917,4101.251046162625
0.16666666666666666,946653.1440045413,5027.69857115926,11636.722645209804,7842.1405643731105,4064.0398942917213
0.20833333333333331,919541.2959263254,4861.267664117173,11729.245278528604,6858.602339969495,4032.1035901227115
0.25,895702.133321793,4713.0394575937535,11828.87877857255,5968.8010033999,4005.0592012059883
0.29166666666666663,874862.3227018197,4581.306157838765,11935.671852924743,5169.76907328633,3982.432607162139
0.3333333333333333,856776.3099298913,4464.592433859719,12049.513069841774,4461.432547257657,3963.931254175597
0.375,841223.3841057582,4361.62261038341,12170.140570731559,3846.095275756267,3949.737302693945
0.41666666666666663,828002.3420474115,4271.214698027269,12297.395182450398,3322.3145487138872,3939.9388396504132
0.4583333333333333,816930.8169815327,4192.274365186752,12431.230210799231,2884.569760644473,3934.469596251108
0.5,807844.6552099899,4123.803331891306,12571.672891667242,2524.0400165383644,3933.0864712991847
0.5416666666666666,800595.2763715561,4064.9381667243333,12718.620957279407,2232.89047087989,3935.488785002475
0.5833333333333333,795047.4850957157,4014.889597035665,12872.009124770804,2002.429307922132,3941.374414294167
0.625,791078.2744550424,3972.9166897713617,13031.889829467962,1821.8815404202032,3950.3418962529154
0.6666666666666666,788576.102683196,3938.417005137922,13198.024404497111,1683.3993033129377,3962.2743455631007
0.7083333333333333,787439.6565515145,3910.8015707893355,13370.384686088184,1578.9532588127115,3976.9154992182107
0.75,787576.3049953535,3889.5494094728137,13548.866009706991,1501.4903335332517,3994.093898823867
0.7916666666666666,788901.6430490845,3874.2242415329124,13733.203797681994,1445.3579613407894,4013.7926057631917
0.8333333333333333,791338.9384104761,3864.359010401555,13923.483940872093,1404.309441897676,4035.7393710029023
0.875,794818.2820196466,3859.54275774517,14119.733486049692,1375.5383111125159,4059.763310816432
0.9166666666666666,799275.3655456615,3859.4238005363595,14321.85322843506,1356.455191416938,4085.7970714964295
0.9583333333333333,804656.4002442153,3863.730262924431,14529.691459613085,1344.4776554131658,4113.8847799252835
1.0,810992.980499185,3872.5914586571894,14744.183877009882,1338.16976774906,4144.412052916536
1.0416666666666665,817120.9960151446,3880.452242224436,14951.281511962834,1330.902538407432,4172.949672434828
1.0833333333333333,822014.669584506,3882.4588160243584,15138.079245535553,1317.5516043146854,4195.536372868726
1.125,825429.3972226228,3877.5084264150532,15300.822067279132,1298.0716061298972,4211.209980036279
1.1666666666666665,827722.7449283941,3867.3824346048846,15442.875780778197,1276.3057090021894,4221.3099822472295
1.2083333333333333,828921.6541581677,3852.2403398751553,15564.035061390827,1253.0601319833338,4225.848323403329
1.25,829060.3510021422,3832.275002412358,15664.197778439162,1228.4378464629776,4224.859221998885
1.2916666666666665,828188.7210705831,3807.7527210111903,15743.48543499976,1202.729721306525,4218.44775485736
1.3333333333333333,826355.0443183206,3778.9294612482686,15802.04942739438,1176.3259855632787,4206.722855093266
1.375,823605.9975384497,3746.0259687141634,15840.184146994157,1149.4455068711643,4189.6998189931455
1.4166666666666665,819986.0270724185,3709.2584736552562,15858.175846934086,1121.2542233444553,4167.419808888903
1.4583333333333333,815537.9129326592,3668.8666074187195,15856.18877950928,1091.2152322188842,4140.057251517983
1.5,810303.2590932552,3625.0739406994535,15834.454522809196,1059.5844131248282,4107.76482705983
1.5416666666666665,804322.4941562741,3578.0878803622404,15793.272462740904,1027.410561486974,4070.6730647548143
1.5833333333333333,797634.8545449513,3528.100848518496,15733.004340409172,996.2935959922116,4028.8929462307706
1.625,790277.8678011377,3475.308776868533,15653.98264646738,965.3496367890947,3982.5680393321713
1.6666666666666665,782287.410468402,3419.905522255294,15556.53383814835,934.2172730587763,3931.8790802362914
1.7083333333333333,773698.4190021647,3362.0815198098508,15440.99895847625,903.1772116230078,3877.0271091192235
1.75,764544.9283919126,3302.025958827891,15307.725099144689,872.6245399318725,3818.2362921172016
1.7916666666666665,754860.0717037945,3239.926702120621,15157.065736070279,843.0624594861893,3755.753572354264
1.8333333333333333,744675.8042027712,3175.944284153486,14989.489653904511,813.8417628171636,3689.742976432887
1.875,734022.6528827251,3110.2145467847336,14805.572022706549,784.8474210987932,3620.3088629354716
1.9166666666666665,722930.3501342644,3042.8841270825865,14605.845074875597,756.5555946063494,3547.6229363008633
1.9583333333333333,711427.9029224869,2974.1038517670872,14390.825077596981,728.8714815802236,3471.8895511446053
2.0,699549.7009855239,2904.0863293187153,14161.225751998,701.292302944424,3393.4125346218893
2.0416666666666665,687438.8803734407,2834.088565973295,13921.6643929482,676.1400133490351,3313.7612626311698
2.083333333333333,675176.2599954632,2764.7990278373213,13674.855298861292,654.7131195314992,3233.896999943021
2.125,662788.2404400761,2696.3826674844204,13421.745567241152,636.6269880334687,3154.1274285658224
2.1666666666666665,650284.6816568155,2628.8344298265984,13162.812846507497,620.6818736724872,3074.5048685372894
2.208333333333333,637660.7909999237,2562.007074701831,12898.081075999156,605.1604080471677,2994.888832693182
2.25,624917.486509605,2495.85695810973,12627.568817212325,590.3306760341642,2915.389863751136
2.2916666666666665,612057.3142008306,2430.320468263655,12351.569849439711,576.3584306604055,2835.9659476563265
2.333333333333333,599081.8099473765,2365.327210986446,12070.354524760256,563.0110743688915,2756.5575478304763
